〒	(ゆうびん)
熊	(ユウ)〜(くま)『くま
夐	(ケイ)(ケン)〜(はるか)
休	(キュウ)〜(やす・む)(やす・まる)(やす・める)『いこう『キウ
修	{修}脩。(シュウ)(シュ)〜(おさ・める)(おさ・まる)(おき)(なが)(のぶ)(おさむ)『シウ
烋	(コウ)(キュウ)(キョウ)
脩	{修}脩。(シュウ)〜(おさ・める)(なが・い)(ほじし)(おさむ)(おさ)(なが)(のぶ)(はる)『シウ
羞	(シュウ)〜(はじ・る)(すすめ・る)『シウ『はじ『はずかしい『はずかしめる『はぢ
貅	(キュウ)
鮴	(ゴリ)〜(めばる)(まて)(こち)
朽	(キュウ)〜(く・ちる)(くつ)『キウ
宿	(シュク)〜(やど)(やど・る)(やど・す)(すく)(ぶすき)(やけ)
秀	(シュウ)〜(ひい・でる)(しゅ)(しょう)(ひで)(ひでし)(ほ)『シウ
岫	(コウ)(シュウ)(ユウ)〜(みさき)(くき)(みね)
袖	(シュウ)〜(そで)『シウ
嗅	{嗅}嚊。(キュウ)〜(か・ぐ)『かか『かかあ『キウ
綉	(シュウ)(ツ)(トウ)
銹	{鏽}銹。(シュ)(シュウ)〜(さび)
嚊	{嗅}嚊。(ヒ)〜(かかめ)(かかあ)(はないき)『かか
繍	{繡}繍。(シュウ)〜(ぬいとり)『シウ
鏥	(シュウ)〜(さび)
繡	{繡}繍。シウ『シュウ『ぬいとり
鏽	{鏽}銹。さび
戌	(ジュツ)〜(いぬ)
戌亥	いぬい『ゐ
吁	(ク)(ウ)〜(ああ)
胥	(ショ)(ソ)〜(あい)(み・る)(みな)
虚	{虛}虚。(キョ)(コ)〜(むな・しい)(うつ・ろ)『うそ『うつ『うつお『うつけ『うつせ『うつほ『うろ『から『そら『むな
虛	{虛}虚。うそ『うつ『うつお『うつけ『うつせ『うつほ『うつろ『うろ『から『キョ『コ『そら『むな『むなしい
須	(ス)(シュ)〜(すべから・く)(すべし)(ひげ)(まつ)(もち・いる)(もと・める)(もとむ)(ぞ)
墟	(キョ)〜(あと)
需	(ジュ)『もとめる
嘘	{噓}嘘。(キョ)(コ)〜(うそ)(ふ・く)
歔	(キョ)〜(すすりな・く)
噓	{噓}嘘。うそ
鬚	(シュ)(ス)〜(ひげ)
徐	(ジョ)〜(おもむ・ろに)『おもむろ
栩	(ク)〜(くぬぎ)
糈	しとぎ
旭	(キョク)〜(あさひ)(あきら)(あき)(てる)(ひ)
序	(ジョ)〜(つい・で)(ついで)(つぐ)
叙	{敘}叙。(ジョ)〜(つい・ず)(ついで)『のべる
洫	(キョク)〜(みぞ)
恤	(ジュツ)(シュツ)〜(めぐ・む)(あわ・れむ)(うれ・える)
勗	(キョク)(ボウ)〜(つと・める)
敍	{敘}敍。(ジョ)〜(つい・ず)(ついで)『のべる
敘	{敘}叙。(ジョ)〜(つい・ず)(ついで)『のべる
壻	{婿}壻。(セイ)〜(むこ)
絮	(ジョ)(ショ)〜(わた)
婿	{婿}壻。(セイ)〜(むこ)『もこ
蓄	(チク)〜(たくわ・える)
煦	(ク)〜(あたた・める)
続	{續}続。(ゾク)(ショク)(コウ)(キョウ)〜(つづ・く)(つづ・ける)(つぐ・ない)(つぐ)
聟	{婿}聟。(セイ)〜(むこ)
緒	〔緖〕緒。(ショ)(チョ)〜(お)(いとぐち)(ほ)『を
緖	〔緖〕緒。お『ショ『チョ
續	{續}続。(ゾク)(ショク)(コウ)(キョウ)〜(つづ・く)(つづ・ける)(つぐ・ない)(つぐ)(つづき)
蓿	(シュク)
宣	(セン)〜(のたむ・う)(のたま・わく)(とおる)(のぶ)(のぼる)(のり)(ひさ)(よし)『のたまう『のべる『のる
宣り言	のりごと
軒	(ケン)〜(のき)
萱	(ケン)〜(かや)(かんぞう)(か)
喧	(ケン)〜(やかま・しい)(かまびす・しい)
愃	(ケン)(カン)
暄	(ケン)〜(あたたか・い)
煖	(ダン)(カン)(ケン)(ナン)〜(あたた・か)(あたた・める)『あたたかい
諠	(ケン)〜(かまびす・しい)(わす・れる)(みつぐ)
玄	(ゲン)〜(くろ)(けん)(はる)(はるか)『くろい
痃	(ゲン)(ケン)
旋	(セン)『めぐる
旋風	つむじ
旋毛	つじ
懸	(ケン)(ケ)〜(か・ける)(か・かる)
懸（け）橋	かけはし
懸け樋	かけい『かけひ『ひ
選	(セン)〜(えら・ぶ)『える『よる
癬	(セン)〜(たむし)
炫	{炫}衒。ゲン『てらう
眩	(ゲン)(カン)〜(げん・す)(くるめ・く)(まぶ・しい)(くら・む)(まど・う)(めま・い)『くらます『まばゆい
衒	{炫}衒。(ゲン)(ケン)〜(てら・う)
絢	(ケン)(ジュン)〜(あや)
鉉	(ケン)〜(つ・る)
鐶	(カン)〜(たまき)(わ)『クワン
削	(サク)〜(けず・る)(はつ・る)(そ・ぐ)(げ)
削ぎ	そぎ
靴	(カ)〜(くつ)『クヮ
薛	(セツ)
穴	(ケツ)〜(あな)(けな)(しし)(な)『めど
斈	(ガク)〜(まな・ぶ)
学	{學}学。(ガク)〜(まな・ぶ)(たか)(のり)
學	{學}学。(ガク)〜(まな・ぶ)(さとる)
鴬	(オウ)〜(うぐいす)
鷽	(カク)(アク)〜(うそ)(ざき)
雪	(セツ)〜(ゆき)(せっ)(ぶき)『すすぐ『そそぐ『よき
膤	(セツ)〜(そり)
艝	(そり)
轌	(そり)
鱈	(セツ)〜(たら)
血	(ケツ)〜(ち)『ケチ『のり
謔	(ギャク)(キャク)〜(たわむ・れる)
塤	{塤}壎。けん
熏	{熏}燻。(クン)〜(くす・べる)(ふす・べる)(いぶ・す)(いぶ・る)(くす・ぶる)(くゆ・らす)
勲	{勳}勲。(クン)〜(いさお)(いさむ)『いさおし『いさを
薫	{薰}薫。(クン)〜(かお・る)(かおり)(かおる)(かほ)(かほる)(くに)(しげ)(にほ)(のぶ)(よし)
勳	{勳}勲。(クン)〜(いさお)(いさ)『いさおし『いさを
壎	{塤}壎。けん
薰	{薰}薫。かおる『クン
燻	{熏}燻。(クン)〜(くす・べる)(ふす・べる)(いぶ・す)(いぶ・る)(くす・ぶる)(くゆ・らす)
醺	(クン)〜(よう)
旬	(ジュン)(シュン)
巡	(ジュン)〜(めぐ・る)(めぐ・り)
荀	(ジュン)(シュン)
洵	(ジュン)(シュン)〜(の・ぶ)(まこと・に)『まこと
恂	(ジュン)(シュン)〜(まこと)
循	(ジュン)『したがう
尋	(ジン)〜(たず・ねる)(ひろ)(ず)(つぐ)
詢	(ジュン)(シュン)〜(はか・る)(まこと)『とう
潯	(ジン)〜(ふち)
迅	(ジン)『はやい
徇	(ジュン)(シュン)〜(あまねし)(したが・う)(とな・える)
殉	(ジュン)
訓	(クン)(キン)〜(おし・える)(よ・む)(くん・ずる)(く)(くに)(くの)(さとし)(のり)(ふみ)『おしえ『よみ
訊	(ジン)(シュン)(シン)〜(き・く)(と・う)(たず・ねる)
巽	(ソン)〜(たつみ)
馴	(ジュン)(シュン)(クン)〜(な・れる)(な・らす)(したが・う)
遜	(ソン)〜(したが・う)(へりくだ・る)(ゆず・る)
蕈	(ジン)(シン)〜(きのこ)(たけ)
濬	(シュン)〜(さら・う)
押	(オウ)〜(お・す)(お・し)(お・っ)(お・さえる)(おさ・える)(おし)(おす)(おや)『アフ
椏	(また)
鴉	(ア)〜(からす)
鴨	(オウ)〜(かも)(あひる)
壓	{壓}圧。(アツ)(エン)(オウ)〜(お・す)(へ・す)(おさ・える)
鐚	{錏}鐚。(ワ)(ア)〜(びた)(しころ)
牙	(ガ)(ゲ)〜(きば)(は)(きばへん)『かび『き
芽	(ガ)〜(め)(じ)(めぐ)『めぐむ
芽子	はぎ
厓	{崖}厓。がけ
崕	(ガイ)〜(がけ)
崖	{崖}厓。(ガイ)(ゲ)(ギ)〜(がけ)(きし)(はて)『まま
涯	(ガイ)〜(はて)
睚	(ガイ)〜(まなじり)
衙	(ガ)(ギョ)(ゴ)
唖	{啞}唖。(ア)(アク)〜(おし)
啞	{啞}唖。ア『おし
雅	(ガ)〜(みや・び)(う)(お)(か)(ただし)(のり)(まさ)(まさし)(よし)『みやびやか
襾	(ア)〜(け)(にし)
亜	〔亞〕亜。(ア)(アシア)〜(つ・ぐ)(や)(つぎ)(つぐ)
亞	〔亞〕亜。(ア)(アシア)〜(つ・ぐ)
軋	(アツ)〜(きし・る)(きし・む)
訝	(ガ)(ゲ)〜(いぶか・る)
錏	{錏}鐚。(ア)(エ)〜(しろこ)(しころ)『びた
呀	(ガ)(カ)〜(あ)
咽	(イン)(エン)(エツ)〜(むせ・ぶ)(むせ・る)(のど)(の・む)『のみと『のんど
烟	(エン)〜(けむ・る)(けむり)(けむ・い)『けぶ『けぶり『けむ
焉	(エン)〜(いずく・んぞ)(ここに)(これ)『いずくにか『なんぞ
淹	(エン)
湮	(イン)(エン)〜(しず・む)(ふさ・ぐ)
煙	(エン)〜(けむ・る)(けむり)(けむ・い)(たば)『けぶ『けぶい『けぶり『けむ
樮	(ほくそ)
嫣	(エン)
閹	(エン)(アン)〜(おお・う)
篶	(エン)〜(くろだけ)(すず)
臙	(エン)〜(のど)(べに)
延	(エン)〜(の・びる)(の・べる)(の・べ)(の・ばす)(たか)(のぶ)(のべ)『ひく
言	(ゲン)(ゴン)〜(い・う)(こと)(とき)
妍	(ケン)〜(うつく・しい)
岩	{岩}巌。(ガン)〜(いわ)『いは『いはほ『いわお
炎	(エン)〜(ほのお)(ぬく)『ほ『ほむら
沿	〔沿〕沿。(エン)〜(そ・う)(ぞ・い)
莚	(エン)〜(むしろ)
研	〔硏〕研。(ケン)〜(と・ぐ)(のり)『ゲン『みがく
硏	〔硏〕研。ケン『とぐ
蜒	(エン)(タン)
嵒	(ガン)〜(いわ)(けわ・しい)
筵	(エン)〜(むしろ)
塩	{鹽}塩。(エン)〜(しお)『しほ
閻	(エン)
厳	{嚴}厳。(ゲン)(ゴン)〜(おごそ・か)(きび・しい)(いか・めしい)(いつくし)(いつ)(いづ)(きゅうら)(とし)
檐	(エン)(タン)〜(のき)(ひさし)
顏	{顏}顔。(ガン)〜(かお)『がお『かほ『がほ『かんばせ
顔	{顏}顔。(ガン)〜(かお)『がお『かほ『がほ『かんばせ
嚴	{嚴}厳。(ゲン)(ゴン)〜(おごそ・か)(きび・しい)(いか・めしい)(いつくし)『いつ
巌	{岩}巌。(ガン)〜(いわ)(いわお)(けわ・しい)(よし)『いは『いはほ
簷	(エン)〜(ひさし)『のき
巖	{岩}巖。(ガン)〜(いわ)(いわお)(けわ・しい)(よし)
鹽	{鹽}塩。(エン)〜(しお)『しほ
奄	(エン)〜(おお・う)(たちまち)(あま)
衍	(エン)〜(あまり)(しく)(はびこ・る)『あまる
掩	(エン)〜(おお・う)
菴	{庵}菴。(アン)〜(いおり)(いお)『いほ『いほり
眼	(ガン)(ゲン)〜(まなこ)(め)
偃	(エン)〜(ふ・せる)
罨	(アン)(エン)〜(あみ)
演	(エン)『のべる
厴	へた
儼	(ゲン)〜(いかめ・しい)(おごそか)
魘	(エン)(ヨウ)〜(うな・される)
黶	(アン)(エン)〜(ほくろ)『あざ
彥	{彥}彦。ゲン『ひこ
彦	{彥}彦。(ゲン)〜(ひこ)(よし)(こ)(ひろ)(やす)
晏	(アン)〜(おそ・い)
宴	{宴}讌。(エン)〜(うたげ)(うた)(やす)
偐	(ゲン)(ガン)
焔	{焰}焔。(エン)〜(ほのお)『ほ『ほむら
堰	(エン)〜(せき)(せ・く)『い『いせき『ゐ
硯	(ケン)(ゲン)〜(すずり)
雁	{雁}鴈。(ガン)〜(かり)(かりがね)
焰	{焰}焔。エン『ほ『ほのお『ほむら
鳫	(ガン)〜(かり)(かりがね)
厭	(エン)(オン)(アン)(オウ)(ユウ)(ヨウ)〜(いや)(あ・きる)(いと・う)(おさ・える)『エフ『や
鴈	{雁}鴈。(ガン)〜(かり)(かりがね)
燕	(エン)〜(つばめ)(つばくら)(つばくろ)『つばくらめ
諺	(ゲン)〜(ことわざ)
験	{驗}験。(ケン)(ゲン)〜(あかし)(しるし)(ため・す)(ためし)
贋	{贗}贋。(ガン)〜(にせ)
嚥	(エン)〜(の・む)
艶	{艷}艶。(エン)〜(つや)(なま・めかしい)(あで・やか)(つや・めく)(なま・めく)(もろ)(よし)『あで
軅	(やがて)
贗	{贗}贋。ガン『にせ
驗	{驗}験。(ケン)(ゲン)〜(あかし)(しるし)(ため・す)(ためし)
讌	{宴}讌。(エン)〜(うたげ)
艷	{艷}艶。(エン)〜(つや)(なま・めかしい)(あで・やか)(つや・めく)(なま・めく)(よし)『あで
央	(オウ)〜(あきら)(え)(お)(さと)(ちか)(てる)(なか)(ひさ)(ひろ)(や)『アウ『なかば
泱	(オオ)(オウ)
殃	(オオ)(オウ)(ヨウ)〜(わざわい)『はひ
秧	(オウ)〜(なえ)
鞅	(オウ)(ヨウ)〜(むながい)『むなかき
鴦	(オウ)
羊	(ヨウ)〜(ひつじ)(よ)『ヤウ
佯	(ヨウ)〜(いつわ・る)
昜	(ヨウ)
洋	(ヨウ)〜(なだ)(ひろ)(ひろし)(よ)(よし)『ヤウ
陽	(ヨウ)〜(ひ)(あき)(あきら)(あけ)(はる)(ひろ)(やん)(よ)『ヤウ
揚	(ヨウ)〜(あ・げる)(あ・げ)(あ・がる)(あがり)『ヤウ
楊	(ヨウ)〜(かわ)(やなぎ)(やな)『ヤウ
暘	(ヨウ)
煬	(ヨウ)〜(あぶ・る)(や・く)
瘍	(ヨウ)〜(かさ)
仰	(ギョウ)(コウ)〜(あお・ぐ)(おお・せ)(お・っしゃる)(おっしゃ・る)『カウ『ガウ『ギャウ『ギヤウ『ゴウ
痒	{癢}痒。(ヨウ)〜(かゆ・がる)(かさ)(かゆ・い)『ヤウ
養	(ヨウ)(リョウ)〜(やしな・う)(や)『ヤウ
瀁	(ヨウ)
癢	{癢}痒。(ヨウ)〜(かゆ・い)『ヤウ
怏	(オウ)(ヨウ)〜(うら・む)
恙	(ヨウ)〜(つつが・ない)『つつが
様	{樣}様。(ヨウ)(ショウ)〜(さま)(さん)『ざま『ためし『ヤウ
漾	(ヨウ)〜(ただよ・う)
樣	{樣}様。(ヨウ)(ショウ)〜(さま)『ざま『ためし『ヤウ
幺	(ヨウ)〜(ちいさい)(いとがしら)(ようへん)
夭	(ヨウ)(オウ)(カ)〜(わか・い)(わかじに)(わざわい)『エウ
妖	(ヨウ)〜(あや・しい)(なま・めく)(わざわ・い)『エウ『およずれ『およづれ
殀	(ヨウ)〜(わかじに)
腰	(ヨウ)〜(こし)(うすぐ)『エウ
邀	(ヨウ)〜(むか・える)(もと・める)
爻	(コウ)(ギョウ)〜(まじ・わる)(めめ)(まじわる)『カウ
尭	{堯}尭。(ギョウ)〜(たか・い)(たかし)(たか)(のり)(あき)『ゲウ
肴	{餚}肴。(コウ)〜(さかな)『カウ『な
姚	(ヨウ)(チョウ)〜(うつく・しい)
堯	{堯}尭。(ギョウ)〜(たか・い)『ゲウ
揺	{搖}揺。(ヨウ)〜(ゆ・れる)(ゆ・る)(ゆ・らぐ)(ゆ・るぐ)(ゆ・する)(ゆ・さぶる)(ゆ・すぶる)(うご・く)『エウ『ゆ
搖	{搖}揺。(ヨウ)〜(ゆ・れる)(ゆ・らぐ)(ゆ・るぐ)(ゆ・する)(ゆ・さぶる)(ゆ・すぶる)(うご・く)『エウ『ゆ『ゆる
徭	(ヨウ)(エウ)〜(えだち)(ふぞろ・い)(つかい)
遥	{遙}遥。(ヨウ)〜(はる・か)『エウ『はる
遙	{遙}遥。(ヨウ)〜(はる・か)『エウ『はる
瑶	〔瑤〕瑶。(ヨウ)〜(たま)『エウ
瑤	〔瑤〕瑶。(ヨウ)〜(たま)『エウ
銚	(チョウ)(ヨウ)〜(なべ)
蕘	(ジョウ)〜(たきぎ)(きこり)
嶢	(ギョウ)〜(けわ・しい)
窰	(ヨウ)〜(かま)
窯	(ヨウ)〜(かま)『エウ
餚	{餚}肴。カウ『コウ『さかな『な
謡	{謠}謡。(ヨウ)〜(うた・い)(うた・う)『うた『うたひ『エウ
謠	{謠}謡。(ヨウ)〜(うた・う)(うた)『うたい『うたひ『エウ
杳	(ヨウ)〜(くら・い)(はるか)『エウ
咬	(コウ)(ヨウ)〜(か・む)
窈	(ヨウ)
要	(ヨウ)〜(い・る)(かなめ)(とし)『エウ『ぬみ『もとめる
要害	ぬみ
葯	{藥}葯。(ヤク)
薬	{藥}薬。(ヤク)〜(くすり)(み)『くす
藥	{藥}葯。(ヤク)〜(くすり)『くす
曜	(ヨウ)〜(てる)『エウ
燿	(ヨウ)〜(かがや・く)(ひかり)
耀	(ヨウ)〜(かがや・く)(ひかり)(あかる)『エウ
鷂	(ヨウ)〜(はいたか)『はしたか
鑰	(ヤク)〜(かぎ)
耶	(ヤ)(ジャ)〜(か)
掖	(エキ)〜(たす・ける)(わきばさ・む)『わき
椰	(ヤ)〜(やし)
噎	(イツ)(エツ)〜(む・せる)(むせ・ぶ)
揶	(ヤ)〜(からか・う)
爺	(ヤ)〜(じい)(じじい)(おやじ)(じじ)(ちち)『ぢい『ぢぢ『ぢぢい
也	(ヤ)(エ)〜(なり)(か)(また)(し)
冶	(ヤ)〜(い・る)(じ)
埜	(ヤ)(ショ)〜(の)
野	(ヤ)(ショ)〜(の)(の)(ずけ)(つけ)(ぬ)
野雁	のがん
叶	(キョウ)〜(かな・える)(かな・う)(かの)(かのう)
曳	(エイ)〜(ひ・く)(ひき)(びき)
曵	(エイ)〜(ひ・く)(びき)
夜	(ヤ)〜(よ)(よる)
頁	(ケツ)〜(ぺえじ)(おおが・い)(かしら)『ページ
液	(エキ)『つゆ
葉	(ヨウ)〜(は)(よ)(わ)『エフ『ショウ『セフ
腋	(エキ)(セキ)〜(わき)
楪	(チャ)
業	(ギョウ)(ゴウ)〜(わざ)(なり)(のぶ)『ゲフ『ゴフ
曄	(ヨウ)〜(かが・やく)(あき)
鄴	ぎょう『ゲフ
謁	〔謁〕謁。(エツ)『まみえる
鵺	(コウ)(ヤ)〜(ぬえ)
靨	(ヨウ)〜(えくぼ)『ゑ
一	(イチ)(イツ)〜(ひと)(ひと・つ)(かず)(い)(いっ)(いる)(かつ)(かづ)(てん)(はじめ)(ひ)(ひとつ)(まこと)『イー『ひい
一日	ついたち
一向	ひたぶる
弌	(イチ)(イツ)〜(ひと)(ひと・つ)(はじめ)(ひと)(ひとつ)
辷	(すべ・る)(すべ・らす)
伊	(イ)〜(かれ)(これ)(ただ)(よし)(いと)(だ)
衣	(イ)(エ)〜(ころも)(きぬ)(ぎ)『そ
衣袽	のみ
壱	{壹}壱。(イチ)(イツ)〜(ひとつ)(い)(かず)
医	{醫}医。(イ)〜(い・やす)(い・する)(くすし)
依	(イ)(エ)〜(よ・る)(よ)(より)
畩	(けさ)
猗	(イ)(ア)〜(ああ)
揖	(イツ)(ユ)(シュウ)(ユウ)〜(い)『イフ
壹	{壹}壱。(イチ)(イツ)〜(ひとつ)(い)
欹	(イ)(キ)〜(そばだ・てる)(そばだ・つ)
噫	(イ)(アイ)(オク)〜(ああ)(おくび)
醫	{醫}医。(イ)〜(い・やす)(い・する)(くすし)
夷	(イ)〜(えびす)(えみし)(ころ・す)(たい・らげる)(し)
沂	(ギ)(キ)(ギン)
怡	(イ)〜(よろこ・ぶ)
宜	(ギ)〜(よろ・しい)(よろ・しく)(き)(たか)(のぶ)(のり)(よし)『うべ『むべ
姨	(テイ)(イ)〜(いもと)(いもうと)(おば)
袘	ふき
萓	(ギ)
移	(イ)〜(うつ・る)(うつ・す)
釶	(シ)
痍	(イ)〜(きず)
貽	(イ)〜(おく・る)
詒	(イ)(タイ)〜(あざむ・く)
飴	(イ)(シ)〜(あめ)(やしな・う)『たがね
銕	(テツ)〜(くろがね)
疑	(ギ)〜(うたが・う)
遺	(イ)(ユイ)『のこす『わすれる『ヰ
儀	(ギ)〜(のり)(よし)
頤	(イ)〜(おとがい)(あご)『おとがひ
嶬	(ギ)
彜	(イ)〜(つね)
嶷	(ギョク)(ギ)〜(さと・い)
鮧	えそ
彞	{彞}彝。い
彝	{彞}彝。(イ)〜(つね)
乙	(オツ)(イツ)〜(おと)(きのと)『めり
已	(イ)〜(や・む)(すで・に)(のみ)(はなはだ)(み)
以	(イ)〜(もっ・て)(もち)
苡	(イ)(シ)(ワ)〜(くさ)
矣	(イ)
倚	(イ)(キ)〜(よ・る)(たの・む)
椅	(イ)
礒	(ギ)(ガ)〜(いそ)(いわお)
蟻	(ギ)〜(あり)
艤	(ギ)〜(ふなよそおい)
靉	(アイ)(イ)
乂	(ガイ)(カイ)(ゲ)〜(おさ・める)(か・る)
弋	(ヨク)〜(いぐるみ)(しきがまえ)
刈	(ガイ)(カイ)〜(か・る)(かっ)(かり)『かる
屹	(キツ)〜(そばだ・つ)
亦	(エキ)(ヤク)〜(また)
抑	(ヨク)〜(おさ・える)『そも『そもそも
苅	(ガイ)(カイ)〜(か・る)(かり)(かる)(かん)
杙	(ヨク)〜(くい)『くいぜ『くひ『くひぜ
邑	(ユウ)〜(うれ・える)(くに)(むら)(お)(おう)(おお)(おおざと)『イフ『おおざる『おほ
佚	(イツ)(テツ)〜(たのし・む)(のが・れる)
役	(ヤク)(エキ)〜(ちゃく)『え『えだち
易	(エキ)(イ)〜(やさ・しい)(やす・い)『かえる『かわる『ヤク『やす
奕	(エキ)(ヤク)
疫	(エキ)(ヤク)『え『えやみ
衵	(ジツ)〜(あこめ)
羿	げい
益	〔益〕益。(エキ)(ヤク)〜(ま・す)(まし)(ます)『ますます『ヤウ『よう
益益	ますます
悒	(ユウ)〜(ふさ・ぐ)(うれ・える)
異	(イ)〜(こと)(こと・なる)(け)
逸	〔逸〕逸。(イツ)〜(そ・れる)(そ・らす)(はぐ・れる)(いっ)(はや)(へん)『イチ『はやる
訳	〔譯〕訳。(ヤク)〜(わけ)
翊	(ヨク)
翌	(ヨク)
軼	(イツ)(テツ)〜(すぎ・る)
絏	(セツ)
肄	(イ)〜(なら・う)
詣	(ケイ)(ゲイ)〜(けい・する)(まい・る)(いた・る)(もう・でる)
裔	(エイ)〜(すそ)『すえ
意	(イ)〜(もと)(よし)『おもい『おもう『こころ
義	(ギ)〜(ただし)(ちか)(のり)(よし)
溢	(イツ)〜(こぼ・れる)(あふ・れる)(み・ちる)
駅	〔驛〕駅。(エキ)『うまや
蜴	(エキ)
億	(オク)〜(お)
誼	(ギ)〜(よしみ)(よい)
毅	(キ)(ギ)〜(つよ・い)(つよし)(こわし)(たけし)(たけ)(はたす)(あつし)(つよ)(とし)(み)
殪	(エイ)〜(たお・す)
螠	ゆむし
劓	はなきり
懌	(エキ)〜(よろこ・ぶ)
憶	(オク)『おもう
縊	(イ)(エイ)〜(くび・る)(くび・れる)
檍	(オク)〜(い)
翳	(エイ)〜(かげ)(かげ・る)(かざ・す)(きぬがさ)(くも・る)(くもり)『さしは
臆	(オク)(ヨク)〜(むね)(おくする)
翼	(ヨク)〜(つばさ)『たすける
藝	〔藝〕芸。(ゲイ)(ウン)〜(う・える)(のり)(わざ)
鎰	(イツ)〜(かぎ)
鶍	いすか
鯣	(エキ)〜(するめ)
繹	(エキ)(ヤク)〜(たずね・る)(ぬ・く)
饐	(イ)(エイ)(エツ)〜(す・える)(むせ・ぶ)
譯	〔譯〕訳。(ヤク)〜(わけ)
議	(ギ)〜(かた)(のり)『はかる
囈	(ゲイ)
鷁	(ゲキ)
懿	(イ)〜(よい)
驛	〔驛〕駅。(エキ)『うまや
因	(イン)〜(よ・る)(ちな・む)(て)『よし『よすが
茵	(イン)〜(しとね)
音	(オン)(イン)(ノン)〜(おと)(ね)(お)(と)
姻	(イン)
氤	(イン)
殷	(イン)(アン)〜(さかん)
陰	(イン)〜(かげ)(かげ・る)『オン『ほと
堙	(イン)〜(ふさ・ぐ)
蔭	(イン)(オン)〜(かげ)
慇	(イン)
吟	(ギン)
垠	(ギン)(ゴン)〜(きし)(さか・い)
崟	(ギン)〜(みね)
淫	(イン)〜(ひた・す)(ほしいまま)(みだ・ら)(みだ・れる)(みだり)
寅	(イン)〜(とら)(とも)(のぶ)
婬	(イン)〜(みだれ)(ひた・す)(ほしいまま)(みだ・ら)(みだ・れる)
欽	(キン)(コン)〜(つつし・む)(よし)(ひとし)
銀	(ギン)〜(しろがね)(うん)(かな)(かね)
霪	(イン)
齦	(ギン)(コン)〜(はぐき)『はじし
尹	(イン)〜(おさ)(ただ・す)(ちか)『ヰン
引	(イン)〜(ひ・く)(ひ・き)(ひ・き)(び・き)(ひ・ける)(いな)(ひき)(ひけ)(びき)
蚓	(ズ)(イン)〜(みみず)
釿	(キン)『ちょうな『てうな
飲	〔飮〕飲。(イン)(オン)〜(の・む)(の・み)
飮	〔飮〕飲。(イン)(オン)〜(の・む)
隠	〔隱〕隠。(イン)(オン)〜(かく・す)(かく・し)(かく・れる)(かか・す)(よ・る)(お)(がくし)『こもる
隱	〔隱〕隠。(イン)(オン)〜(かく・す)(かく・れる)(よ・る)『こもる
齗	はじし
廴	(イン)〜(いんにょう)(えんにょう)
印	(イン)〜(しるし)(じるし)(しる・す)『かね
胤	(イン)〜(たね)(つぎ)(つぐ)(かず)
酳	(シン)(イン)
憖	(ギン)(キン)〜(なまじ・い)『じひ『なまじ
応	〔應〕応。(オウ)(ヨウ)(ノウ)〜(あた・る)(まさに)(こた・える)(お)(たか)(まさ)『いらえる
英	(エイ)〜(はなぶさ)(あ)(あい)(え)(すぐる)(はな)(ひ)(ひで)(よし)(ら)『ひいでる
珱	(エイ)(ヨウ)
桜	{櫻}桜。(オウ)(ヨウ)〜(さくら)(さ)(ろう)『アウ
桜皮	{櫻皮}桜皮。かには『かにわ
瑛	(エイ)(ヨウ)〜(あき)(あきら)(てる)(え)
霙	(エイ)(ヨウ)〜(みぞれ)
嬰	(エイ)〜(ふ・れる)(みどりご)(あかご)
膺	(ヨウ)(オウ)〜(むね)
罌	(オウ)(エイ)(ヨウ)〜(もたい)(ほとぎ)(かめ)
嚶	(オオ)(オウ)〜(な・く)
瓔	(エイ)(ヨウ)
櫻	{櫻}桜。(オウ)(ヨウ)〜(さくら)『アウ
櫻皮	{櫻皮}桜皮。かには『かにわ
鶯	(オウ)〜(うぐいす)『うぐひす
纓	(エイ)(ヨウ)
軈	(やがて)
鷹	(ヨウ)(オウ)〜(たか)
鸚	(オオ)(イン)(オウ)(ヨウ)
迎	(ゲイ)〜(むか・える)(むかえ)『ギャウ『ギョウ
盈	(エイ)〜(み・たす)(み・ちる)(みつ)
蛍	{螢}蛍。(ケイ)〜(ほたる)
営	〔營〕営。(エイ)〜(いとな・む)(いとな・み)
楹	(エイ)〜(はしら)
塋	(エイ)〜(はか)
蝿	(ヨウ)〜(はえ)(はい)
瑩	(エイ)
螢	{螢}蛍。(ケイ)〜(ほたる)
營	〔營〕営。(エイ)〜(いとな・む)(いとな・み)
蠅	(ヨウ)〜(はえ)(はい)『はひ『はへ
瀛	(エイ)〜(うみ)
贏	(エイ)〜(あまり)
郢	(エイ)
影	(エイ)〜(かげ)『ヤウ『ヨウ
潁	(エイ)
頴	(エイ)〜(ほさき)(のぎ)(え)(かい)
穎	(エイ)〜(ほさき)(のぎ)『かび
癭	こぶ
映	(エイ)〜(うつ・る)(うつ・す)(は・える)(ば・え)(あきら)(え)(てる)
硬	(コウ)〜(かた・い)『カウ
暎	(エイ)(ヨウ)〜(うつ・す)(うつ・る)(は・える)
應	〔應〕応。(オウ)(ヨウ)〜(あた・る)(まさに)(こた・える)『いらえる
佣	{佣}傭。やとう『ヨウ
庸	(ヨウ)〜(つね)(のぶ)(やす)
傭	{佣}傭。(ヨウ)(チョウ)〜(やと・う)(あた・い)(ひと・しい)
雍	(ヨウ)(ユ)〜(ふさ・ぐ)(やわら・ぐ)
