〒	(ゆうびん)
禪	{禪}禅。(ゼン)(セン)〜(しずか)(ゆず・る)
襌	(タン)(ゼン)〜(ひとえ)
蟬	{蟬}蝉。せび『せみ『セン
蟾	(セン)
壥	(テン)
巉	(ザン)(サン)
纏	(テン)(デン)〜(まつ・わる)(まと・う)(まと・める)(まと・まる)(まと・い)『まとひ
躔	(テン)〜(ふ・む)
纒	(テン)〜(まつ・わる)(まと・う)(まと・める)(まと・まる)
讒	(ザン)(サン)〜(そし・る)
產	{產}産。うぶ『うまれる『うむ『サン『むす
産	{產}産。(サン)〜(う・む)(う・まれる)(うぶ)(む・す)(もと)
諂	(テン)〜(へつら・う)
闡	(セン)〜(みち・る)
懴	(ザン)(サン)〜(くい・る)
懺	(ザン)(サン)〜(くい・る)『セン
顫	(セン)〜(ふる・える)
昌	(ショウ)〜(さかん)(まさ)(まさし)(よし)(あき)(あきら)(さかえ)(あつ)(すけ)『あきらか『シャウ
菖	(ショウ)『シャウ
猖	(ショウ)〜(くる・う)
娼	(ショウ)〜(あそびめ)『シャウ『よね
椙	(すぎ)
鯧	がつを『まながつお
長	(チョウ)〜(なが・い)(おさ)(お)(おしゃ)(たかし)(たけ)(な)(は)(ひさ)『たき『たける『チャウ『チヤウ『つかさ『なが『をさ
長官	かう『こう
長雨	ながめ
萇	(チョウ)
常	(ジョウ)〜(つね)(とこ)(とき)(のぶ)(ひ)(ひた)『きだ『ジャウ『とこしえ『とことわ『とは『とわ
場	(ジョウ)(チョウ)〜(ば)『ヂャウ『ヂヤウ
甞	(ショウ)(ジョウ)〜(かつ・て)(な・める)
腸	(チョウ)〜(はらわた)『チャウ『チヤウ『わた
塲	(ジョウ)(チョウ)〜(ば)
嘗	(ショウ)(ジョウ)〜(かつ・て)(こころ・みる)(な・める)『シャウ『ジャウ
嫦	(コウ)(ジョウ)
膓	(チョウ)〜(はらわた)
蟐	(ジョウ)〜(もむ)
償	(ショウ)〜(つぐな・う)『シャウ
厂	(カン)〜(かりがね)(がんだれ)
昶	(チョウ)〜(あきら)
敞	(ショウ)〜(たか・い)(ほが・らか)(ひろ・い)(たかし)
厰	(ショウ)
廠	(ショウ)『シャウ
倡	(ショウ)〜(とな・える)(わざおぎ)
鬯	(チョウ)〜(かおりぐさ)
唱	(ショウ)〜(とな・える)『うたう『シャウ
悵	(チョウ)〜(いた・む)(うら・む)
暢	(チョウ)〜(のび・る)(いたる)(のぶ)(のぶる)(なが)(とうる)(とおる)(のり)(まさ)(みつる)(よう)『チャウ『のびやか
抄	(ショウ)〜(さ)(り)『すく『すくう『セウ
