㯐	<橢>
㯓	<榻䈳>
㯔	{䄟}
㯖	<棏>「㭙」
㯗	{憪}
㯘	<梡>
㯚	<榙>
㯛	<𣝄>
㯜	<椊>
㯟	<麓>
㯢	<栚𣒁>
㯣	<棻>_<梤>
㯤	<棘>{集}
㯥	<曹>
㯦	<棋>
㯩	{𣜹}
㯪	<櫺>{柃}
㯭	[艪㯭樐⇀艣櫓↛櫓]
㯯	<𥂃㔶>
㯰	<植>
㯱	<𣞈>_<𣙲>
㯳	<檠>
㯶	<椶>
㯷	<樸>
㯹	<檦>{標}
㯺	<𣔿檻轞壏>
㯻	<𣠔>
㯾	<槽>
㰂	<棯>
㰃	<牑檰>
㰄	<𣚙>
㰅	<㭙樀擿>
㰆	<韛>{鞴}
㰇	{櫼杉}
㰉	<榛>
㰊	{杉}
㰋	<檳>
㰌	<榷>
㰍	<櫳>
㰎	<檇>
㰏	<篙>
㰐	<橢>
㰕	<𣟵>
㰖	<欖>
㰗	<槭>
㰘	<㰘>
㰙	<橠>
㰚	<籬>
㰛	<櫟>
㰝	<弞>
㰞	<嗤>
㰟	<𣢆冀吃>
㰡	<𣣶>
㰣	<𣢋𣢙>
㰤	<𠽫㗿呵>
㰦	{呿}
㰨	<𣢱𣣦>{矤}
㰬	<𣱡>
㰯	<咅>
㰱	<歃>
㰲	<𣤐>
㰶	<嘔>
㰷	<𣣌>
㰹	<欦>{𣢺}
㰿	{欷}
㱀	<欼>
㱁	<款>
㱃	[㱃⇀飲]_<飮𨡳𣲎𩚜>
㱄	<嘿默>
㱆	<𣤴𣤼>
㱉	<㗼>
㱊	「嚘」
㱋	{𣤇塙}
㱎	<𧥊㱎𣤿>
㱏	<正>
㱑	{歲}
㱒	<訶>
㱔	<些>
㱕	<歸>
㱘	<魘>
㱙	<𣧬剮朽>
㱚	<殘>_<𣧻>
㱛	<布𣧒>
㱜	<𣧖>
㱞	<砐>
㱟	<㨢𤿇>
㱠	<𣧮辜>
㱥	「楞」
㱨	<殮>
㱩	[殰-㱩]
㱪	<殙>_<𣨯>
㱫	<爛>
㱭	<毈>
㱮	[殨-㱮]
㱳	<𣩎>
㱴	<𣩬骴>
㱶	<𣨥>
㱸	<𣩩>
㱺	<臚>
㱽	<抌>
㱾	<𣪈>
㱿	<𣪊殻嗀>「-愨」_<殼>
㲀	<敐>
㲁	<𢽦>
㲂	<𢿧>
㲄	<𡎷𣪝>{玨}
㲇	<鼕>
㲈	<韶鼗>「鞀鼗」
㲉	<𣪹𥀎𣫘>
㲊	{叡}
㲋	<𠕗𠜌㚟𤟭𣬋>
㲍	{翅}
㲎	<氀>
㲏	<𣬢>
㲒	<菢>
㲖	<𣭱𦐺>
㲘	<氍>
㲙	<𣮬>「𣯜」
㲚	<𣮅>
㲜	<毯>
㲝	{𣯑氄}_<𣯍>
㲠	<氂>
㲣	<𣮬>
㲨	<𣮩𣮪𥧢毧䩸>
㲩	<毾>
㲪	<𣰆>
㲫	<𩯱>
㲯	<𣰦>
㲱	<鬣>
㲲	<𣮨𣯉𣰭𣰸氎𧟕>
㲳	<𣱎>
㲴	<𣱪𣱯>
㲵	<霄>
㲶	<氯>
㲷	<氮>
㲹	<氿>{氾汎}
㲻	<溺>_<氼>
㲼	<汊>
㲽	{涊}
㲾	<雨>
㲿	[瀇-㲿]
㳁	<汄>
㳂	<沿>
㳃	<淬>
㳄	[㳄⇀涎]<唌>_{次}_<𣵿𣶜𣶛𣶚𣶙>
㳅	<流>
㳇	{務}
㳈	<沛>
㳊	<攸>{汐𣲏}
㳏	<𣳪>
㳐	<𣲞>
㳑	<溢>
㳒	[灋㳒⇀法]
㳔	[濧-㳔]
㳕	[灡-㳕]
㳗	<汊>
㳙	<涓>
㳚	{泧}
㳝	<洭>
㳞	<浺>
㳟	{恭}
㳠	[澾-㳠]
㳡	[濄-㳡]
㳢	[𣾷-㳢]
㳤	<淑>
㳦	<𣸂>
㳨	<𣴖>
㳪	<𣳶>
㳫	{沓}
㳬	<漩>
㳭	<涎>
㳮	<尿>
㳰	<溝>
㳶	<乳醹>「-㝅」
㳷	<𣴵𣷤淴淈渞>
㳹	<汪>
㳺	<游>
㳼	<淢滭>{𤅳}
㳽	[瀰-弥㳽]
㳾	<溬羌>
㳿	<渫>
㴃	<淚>
㴅	<消>
㴆	<浸>
㴇	<涉>
㴈	<垽>
㴉	<濟>
㴊	<淵>
㴋	（潚）
㴏	{溛}
㴑	<泝溯>
㴒	<湙>
㴓	{濾}
㴔	<潝澀>
㴕	「潗」
㴖	<濼>
㴘	<𣻥>
㴙	<煠>
㴚	<澻>
㴛	<洷>
㴜	<徧>「遍」
㴝	<黎>
㴞	<滔>
㴥	<𣺰>
㴩	<灉>
㴬	<𣽜>
㴮	<㴽>
㴱	[㴱⇀深]
㴳	<㙙>
㴴	「湛」
㴵	<淧㵥>
㴸	<㶒>
㴽	<㴮>
㴾	<渤>
㴿	{濎}
㵁	{巟}
㵄	<漢>「*域」
㵆	{浩}
㵋	<汨>
㵎	<𡼏澗磵𧯎>
㵏	<漼>
㵐	<灍>
㵒	<沸>
㵓	<湜>
㵕	<滲>
㵙	{清}
㵝	「*裔」
㵞	<𣿜>
㵟	「湄溦」
㵣	<渴>「-愒」
㵥	<㴵>
㵦	<瀡>
㵩	<渫𦺁>
㵪	<涎>
㵭	<渚>
㵰	<漵>
㵱	{漂}
㵲	<潕>
㵳	<漻>
㵷	{𤀲}
㵸	<瀹>
㵺	<𣴪𤀥>
㵻	<𤁨>
㵽	<灅>
㵾	[㵾-𪷍]<淨儬𩇟渹>
㶄	<𤅸>
㶅	<澩>
㶆	[㶆-𫞛]
㶇	<𦪗>
㶈	<濙>{瀯}
㶉	[鸂-㶉]
㶎	<澴>
㶏	<濦>
㶑	<瀲>
㶒	<㴸>
㶕	<𤄒>
㶗	<𤀇>
㶚	「灞」_<覇霸>
㶛	<𤄕>
㶜	<淵>
㶞	<瀼>
㶟	<漯>
㶡	{火}
㶣	<烎>_<𤇇>
㶤	<炒>_<𬉹>
㶥	<㶣>
㶨	<炋>{丕}
㶪	{炋}
㶫	{燎}
㶭	<𣅺>
㶮	<燒>{炳}
㶳	<燼>
㶴	<𤈕>
㶵	<飪>
㶶	[燶-㶶]
㶺	{煔}
㶻	<烽>
㶽	[煱-㶽]
㶾	<熛>{票}
㶿	<𤊹𤍗𤏮>
㷀	<煢>_<焭>
㷂	{熙}
㷅	<炒>
㷇	<𡖨𡌪恢>
㷉	<尉>{熨}
㷊	<焚>
㷎	<暍>
㷐	「燬」
㷑	<煙>
㷓	<熜>
㷔	<焰>_<熖焔燄>
㷖	<照>
㷙	<煎>
㷛	「煲」
㷟	<煺>
㷠	<磷>_<粦>
㷢	<𤈩>
㷣	{𤏽}
㷤	<𧹲>
㷥	<烝>
㷦	<瞁>
㷩	<熙>
㷪	{𤎱}
㷫	{熨}
㷬	<𦹪>
㷭	<烽>_<逢>
㷮	<𤒖𤓗>
㷳	<𤏚𤎝𤑤>
㷴	<爏>
㷵	<爅>
㷶	<煏>
㷷	<臇>
㷸	「燁」_<爗>
㷹	<𤒽>
㷻	<無>
㷼	「燕」
㷿	[㷿-𤈷]
㸀	<炱>
㸂	<燧>
㸃	{點}
㸄	<齌>
㸅	<𤊵>
㸈	<焦>
㸉	<燮>_<𤏻>
㸊	<𤊶>
㸋	<膰>
㸌	{霩}
㸎	<𣌍>
㸏	<爢>
㸐	<然>
㸑	<爨>
㸓	<㫘>
㸕	<攫>
㸘	<萬>
㸝	<杴>
㸠	<𤕷>
㸢	<𤗌𤗩>
㸣	<業>
㸤	{辨}
㸥	<欃>
㸦	<互>{牙}
㸧	<齦>
㸫	<犍>
㸬	<𤘱牬𤙍㸽>_<𤘬>
㸯	<犐>
㸰	<犐>
㸱	<犐>
㸳	<𤜙>
㸵	{𤘧}
㸶	<𤚕>
㸷	<觢>
㸸	<𤘘>
㸼	<犎>
㸽	<㸬>
㸾	<牣>
㸿	<犢>
㹀	{牸}
㹁	<𤚒>
㹃	<𤘿>
㹅	<總>
㹇	<犍>
㹊	<𤙿𤛹𤜅>
㹋	<𤛛>
㹍	<𤠻>
㹎	<𤛡𤜖累纍>
㹐	<𩌨>
㹑	<牭>
㹔	<𤚖>
㹕	<𤛰>
㹖	<豢>
㹗	<𤛒𤛴>
㹙	<㹚>
㹚	<㹙>
㹛	<𤛾犪擾>
㹜	<犾>
㹝	<𤜣>
㹞	<啀狺齗>
㹟	<獪>
㹠	<豚>
㹡	「*狷」
㹢	<𤠙>
㹤	<怯>
㹥	{狂}
㹦	<貂>
㹧	<𧲱>
㹨	<狖>
㹪	<狦>
㹫	<夷>
㹬	<𧳅>
㹭	<𧳙>
㹮	<貘𩢷>
㹯	<貅>
㹱	<猎𤡯鵲>
㹲	<㺒𧱐>
㹳	<𤝲>
㹶	<𤠜>
㹷	<狶>
㹸	<貌>
㹺	<狧>
㹻	<猧>
㹽	[㹽-𫞣]
㺀	<猱>
㺁	<𤝾𤠏>
㺃	<狗>
㺄	<貐狳>
㺅	<猴>
㺇	<𤠒>
㺉	<豰>_<𤠼>
㺊	<𤡀>
㺍	[獱-㺍]
㺎	<𧴄>{𤛑}
㺏	[㺏-𤠋]<䝏>
㺐	<獠䝤>
㺑	<𤡙𤡅𤢖>
㺒	<狡㹲𤟋𤠖>
㺕	<𤝏>
㺖	<𤡘>
㺗	<貚>
㺚	<獺>
㺛	<𤟨>
㺜	[㺜-𪺻]<𤡤𤣜>
㺟	<蠗>
㺠	<狖>
㺡	<𧴠>
㺤	<𤢷>
㺥	<毚>
㺧	<𤣠>
㺩	<玌>
㺪	<璞>
㺫	<玌>
㺬	{𤣲}「珙」
㺮	<玗>
㺯	{弄}
㺰	<瑡>
㺲	<鈕>
㺳	<玫>
㺴	<𤤒>
㺵	<玖>
㺷	<珬>
㺹	<玣>
㺺	<瑁>
㺿	<珆>
㻁	<瑰>「瓌」
㻂	<玭>
㻃	<𠚖>
㻄	<寶>
㻅	[璯-㻅]
㻆	{琄}
㻉	<𤤉>
㻊	<璊>
㻋	<㻝>{㻷}
㻌	<瑹>
㻎	<瑟>
㻏	[𤫩-㻏]<玲>
㻗	<琲>
㻘	[𤪺-㻘]
㻝	<㻋瓎>
㻡	{渫}
㻧	<𤤸>「𤧮」
㻫	<珌>
㻬	<𤨹㻯>
㻭	<璱>
㻮	<璨>
㻯	<㻬>
㻰	<璏>
㻱	「-璡」
㻶	[㻶-𪼋]
㻷	<𤤹>
㻺	{𤩮}
㻽	<璿>
㻾	<𤫔>
㼂	<璺>{璵}
㼄	<璣>
㼇	<瓗>_<瓊>
㼉	<𤫯>
㼊	<𤫪𤫭>
㼎	{瓝}
㼓	<𤬓>
㼔	<𤬒>
㼖	<𤬤>
㼙	<甃>
㼚	<𤬽𤭛𤭺罁缸>
㼛	<銒>「𤭓」
㼜	<盎>
㼝	[盌椀㼝⇀碗]
㼞	{甏}
㼟	{㼣}
㼠	{瓵}
㼢	<𤬴𤭘瓵>
㼤	<𤮈𤮛>
㼧	<𤭁>
㼨	<𤭙>
㼩	<墭>「盛」
㼫	<𠿜>
㼭	<墊>
㼱	<𠤦𠬫𠭝𡕶𥨏𡰺𤭀𤕱䆓𩏈𤮪>_<𠭼𥧐𠭠>
㼲	<𤭃𦓓𤮁>
㼵	<𤭌𦉁題>
㼷	<𤮍>{磚}「甎」
㼸	<𤮇>
㼹	<𤭉𤮊>「𤭕」
㼺	<𤮂>
㼼	<瓢>
㼽	<𤭪>
㽀	<𥂴>
㽁	<鬲>
㽄	<𤭣𤭦𤮓>
㽅	<𤮘>{豋}
㽉	<𦉞>
㽊	<𤮶>
㽌	<𤮷>
㽍	<坩>
㽐	<馦>
㽑	「-醰」
㽒	<甥>
㽕	<𣔴由>_<㕀>
㽖	<男>{留}
㽗	<畞畆𤰖畝畒>
㽘	<奋𪉘>
㽙	<允畯>
㽜	<畹>
㽞	[㽞畱𤱊⇀留]
㽟	<埒>
㽠	<𤲍>
㽡	<𤲤𤲦>
㽢	<䅖䎨>
㽣	<域>
㽦	<畇>
㽧	<𤲸>_<畜>
㽨	<𤳶>「-瘥」
㽩	<𤳑𤳒>
㽫	<壅>
㽬	<副>{輻堛}
㽭	<𤲬>
㽮	<星>
㽯	<畦>
㽱	<㽲𤴮痏>_<𤴪>
㽲	<㽱>
㽳	<疞>
㽴	{疢}
㽵	<莊>
㽸	<瘎>
㽻	{疧}
㽽	<痼>
㽾	<𤴰>
㽿	<瘑>
㾁	「床」
㾃	<𤵚>
㾄	<怞讟>
㾅	<𤴹>
㾆	<𤴿>
㾈	{府}
㾉	<𩖊>
㾊	<瘷瘠>_<膌>
㾋	<𤺣>
㾌	<癬>
㾐	<癘>
㾑	<瘩>
㾓	{悁}
㾗	<䀶>
㾘	<梗>
㾙	<𤴾𦜓脪>
㾜	<𤷾>
㾞	{𤸈}
㾡	<𤷽>
㾢	{癩}
㾤	<啌>
㾨	<𥏜矮>
㾪	<𤵙𩩭>
㾬	<痎>
㾭	<𤵰𤶍𤷨>
㾮	<癀>
㾯	<痿㿉>
㾰	<𤵡>
㾶	<尳>
㾷	<𡳚𤷡>
㾹	<𤸍>
㾻	{𤶠}
㾼	{㞂}
㾽	<膇㿉>
㾾	<㿌>
㾿	{廊}
㿀	<癍>
㿂	<癥>
㿃	<䐭帶>
㿄	<𤻢>
㿅	<癬>
㿈	<癰>
㿉	<𥢢㾯𤸉㾽𤼊㿗>
㿊	<憯>{慘}
㿋	<瘙>
㿌	<㾾>
㿍	<疥>
㿏	<𤸷>
㿒	<𤺜疛>
㿔	<癗>
㿖	[㿖-𪽮]<廬>_{𤻱}
㿗	<㿉>
㿙	<𤼤>
㿚	<𣩿>
㿛	<癧>
㿜	<癟>
㿝	<香>{皀}
㿞	<耄>
㿟	<白>
㿢	<耀>
㿥	<𤽼皬>
㿦	{𣍆}
㿧	[㿧-𤽯]<疇譸>_<𤾊>
㿨	<皪>
㿩	<𤾉>
㿬	<巴疤>
㿱	<𢼺>
㿲	<欹>
㿴	<䐛>
㿵	<𡰫>「𥀭」
㿶	<幫>
㿷	<𥀞糙>
㿸	<𥀗𥀤>
㿹	<𥀀>
㿺	<𤿈𦢊>
㿽	{盆}
㿾	<𧈚>「𥃓」
㿿	<𥁱>
䀀	<𥁔𥁩盕𥁷𨥧>
䀁	<𥁓>
䀃	「盠」
䀄	<密饛>
䀆	<盡>
䀇	<𥂩>
䀊	<𥂔𥃃>
䀍	<㔶>_<䘓>
䀎	<眄>{盼}
䀏	<眴>
䀐	<𥊀>
䀑	<𥄗>
䀔	<䀼>
䀖	<瞋>
䀗	<𥄎瞲>
䀘	<𥅝𥅳>_<䀘>
䀙	<𥉻>
䀛	<䀜䀣>
䀜	<䀛>
䀟	<𥄱>
䀠	<瞿>
䀡	<覘>
䀢	<瞬>
䀣	<䀛>
䀥	[䁻-䀥]<𥌞𥍐>
䀨	<𥆠>{甜}
䀪	<𦐄>
䀫	<䀹>
䀮	<𥆈𥆰𥇫𥉂>
䀰	<𥆌>
䀱	<盽>
䀳	<𥈙>
䀵	<眣>「䀢」
䀶	<䁁𥇉𥈘㾗𥇑>
䀸	<䀿>
䀹	[䀹-𥅴]<𥇒眨䀫睫𥍉>_<䀹>
䀺	<𥃧>_<𠌪>
䀼	<䀔瞋>
䀿	<䀸>
䁁	<䀶>
䁃	<𥋦𥌜>
䁅	<𥋝>
䁆	<𥉱>
䁈	<啓𢾥䁉>
䁉	<䁈>
䁋	<𥇱瞸>
䁍	<𥇌>
䁎	<瞠>
䁏	<䁘>
䁐	<映>
䁑	<眻>
䁒	<𥊬>
䁔	<睅>
䁕	<盿>
䁖	[瞜-䁖]
䁘	<䁏>
䁙	<𥈔𥉛𥍂>
䁚	<瞏>
䁛	<𥍁>
䁝	<覮>_<榮營>
䁞	<省>
䁟	「*差」
䁢	<嫙>
䁥	<昵>
䁦	<覰>{覷}
䁨	<矐>
䁩	<魚>
䁪	[䁪-𥇢]
䁮	<𥋋>
䁯	<瞸>
䁰	<𥊾>
䁱	<瞘>「眗」
䁲	<䚑>_<𥋻>
䁴	<𥊳>
䁵	<睔>_<𥌡>
䁹	<睥>
䁺	<𥋭睪>
䁻	[䁻-䀥]<𥌞𥍐>
䁾	<𥋚>
䂀	<𥋟>
䂄	{矆}
䂆	<𥍠𥍟𥍧𥍰>
䂉	<𥍶>
䂊	{豫}
䂌	<𥍽>
䂍	<𢑾>
䂎	<𣡿𥎞𥎥䤸>
䂐	<拙>
䂓	<規>{瞁}
䂔	<𥏢>
䂖	<石>
䂙	{𥒵}
䂜	<玤>「*崩」
䂝	<矺>
䂞	<柘>
䂟	<𥑆>
䂡	<砥>
䂤	<𥑧>{坿}
䂥	<珉>
䂦	<䂧>
䂧	<䂦>
䂩	<硜硯>
䂪	<磽>「䂽*銚」
䂬	<𥒽𡊼>「*拱」
䂭	<礉>
䂮	<㗉>
䂯	<𥑰>
䂲	<砝>{硈}
䂳	<𥒑>「-剉」
䂴	<研>
䂵	[碽-䂵]
䂶	<蜐>
䂸	<𧯱>
䂹	<𥓭𨹾>
䂺	<顆>
䂻	<鋥>
䂽	<跳>
䃀	{*㼮}
䃂	<硍>
䃅	（磾）
䃈	<瑎>
䃉	<珉>
䃋	<𥔢>
䃍	<墜>
䃎	<砟>
䃑	<斑磐>
䃒	<塥>
䃕	<𥒪磱>
䃖	<塢>
䃗	<𥓑>
䃘	<硜>
䃚	<鏃>
䃛	<鏈>
䃜	<瑿>
䃝	<礉>
䃠	<碹>
䃢	<嶔>
䃣	<毁>
䃦	<礅>
䃩	<硇>
䃪	<壇>
䃫	<𥖷𥕔>
䃬	<磈𡼊>
䃭	「*撼」
䃮	[䃮-鿎]
䃱	<䃸>
䃲	<磐>
䃵	<𥗗>
䃶	<𥑋>
䃸	<䃱>
䃹	<𥗺>
䃺	<磨>
䃻	<壩>
䃽	<祈祓禔>
䃾	<肶𥘇>
䄀	<禍>
䄂	<𥛅>{袖}
䄃	<殃>
䄄	<禋>
䄅	<餋>
䄆	<𥙱䄑>
䄇	{程裎}
䄈	{短旋}
䄉	<娥>
䄋	<𩳢>
䄌	<醊>
䄍	<蜡>
䄎	<婍>
䄏	「祅」
䄑	<䄆>
䄒	<稔>
䄔	<𢯺>{褵}
䄕	<社>
䄚	<𥛼>
䄛	<膢>
䄜	<魑>
䄠	<禪>
䄡	{襜}
䄢	<齋>{齊}
䄥	<𥜧>
䄩	<䴬>
䄪	<𥞗>
䄫	<芑>
䄬	<移>
䄭	<年>
䄮	<稃>
䄰	<芽>
䄳	{祉}「秈」
䄶	<𥞳>
䄷	<石>
䄺	<稊稚>
䄻	<𥟯>
䄽	<秈>
䄿	<𥹞>
䅀	<𠞜𥞥𥟸𥟜𥣭>
䅁	<𥞬>
䅃	<𥞱𥞣>
䅄	<𥞮>
䅆	<𪗉>
䅇	<粟>
䅉	[稏-䅉]
䅌	<𧆇𪌭>
䅍	<𥟐>
䅏	<䊊>
䅐	[䅐-𫀨]<𢆞>
䅑	<䅗𥡜>
䅔	<䎩>
䅖	<㽢馣>
䅗	<䅑>
䅘	<𥟂麳>
䅜	<𥢤>
䅟	[穇-䅟]
䅠	<蕛>{稊}
䅣	<䊗>
䅤	<𥟰𥠞>
䅥	<𥠹>
䅧	<蔭>
䅨	<香>
䅩	<歧>
䅪	[𥢢-䅪]
䅭	<𥻭>
䅱	<䭓>
䅲	<𦔌>
䅳	[䅳-𫀬]<𥟷>
䅵	<𦮽蓔>
䅶	<耨>
䅷	<稌藷>
䅸	<莘>
䅹	<耬>
䅺	<秒蔈>
䅻	<離>
䅼	<𦔔>
䅽	<穀馨>
䅿	<華>
䆀	<黴>
䆂	<稴>
䆅	<穧>
䆈	<稚>
䆉	[䆉-𫁂]<𥝧>
䆋	{秋}
䆍	<𪚗>
䆏	<𥣢𥤄𥤅𥤈𥤑>「糞」_<𥣾>
䆐	<國>
䆓	<㼱>
䆕	<𥥞䆷䦑>
䆖	<宏>
䆗	<窈>
䆘	<拶>
䆙	<窑>「窰」
䆚	<洞>
䆜	「宥」
䆝	<䆷>
䆟	<㝓凹>
䆠	<宦>
䆡	<㝗>
䆢	<䦑>
䆣	<宸>
䆤	<穿>
䆥	<穿>{寂}
䆧	<窩>
䆩	<冥>
䆪	「烘」
䆫	<窗>_<窻>
䆬	<殞霣>
䆮	<浸>
䆯	<𡢑𡢷𩈽>
䆲	<槺㝩>
䆳	<邃>_<遂>
䆴	<𥧄灶竈竃>
䆷	<䆕䆝>
䆸	<幀>
䆺	<潘>
䆼	<窠>
䆿	<寱>
䇀	<䩸>
䇂	<愆>
䇃	<俟>「竢」
䇅	<𥩱>
䇍	<竐齪>
䇎	<𥪶>
䇏	<𥫉>
䇐	<莅>
䇑	<𥪎>
䇒	<届>
䇓	<𥪃𥪙𥪥䇕須>_<𩓣>
䇕	<䇓>
䇘	<互𥫻䊺𥾙>_<𢆰>
䇚	<攴>
䇟	<腱>
䇠	<樦>
䇡	<杼>
䇢	<罟>
䇣	<苶>「籋」
䇥	<笮>
䇧	<箕>
䇫	<𥭱>
䇭	<栳>
䇮	「-栣」
䇱	<笝>
䇲	[筴-䇲]
䇳	<牋箋>
䇵	<𪛊>
䇷	<𧧸>
䇹	<箘>
䇺	<豆>
䇾	<言>
䇿	{策}
䈀	<𥮚>
䈂	<𠚙笄>
䈄	<筨𥲌>
䈅	<籆>
䈆	<簤>
䈇	{箌}「罩」
䈈	<笆>
䈉	<箑翣>
䈎	<葉>
䈐	<槶>
䈒	<罱>
䈓	<𥴭>
䈔	<笳>
䈕	<匙椸筓𥶛>「笄」
䈗	{葰}
䈘	<𥴺>
䈚	<苔>
䈛	<𥲖>
䈜	<𣖯沁>
䈝	<𥮪>
䈞	<篤>
䈡	<檧>
䈢	<箈𥯲>
䈤	<鉗>{箝}
䈥	「筋」
䈫	<笝>
䈰	[䈰⇀筲]
䈱	<𠚡>
䈳	<㯓>
䈷	<格>
䈹	<籔>
䈼	<篾>
䈽	<𥭤>
䈾	「梢」
䉁	<䉹>
䉂	<𥳮>{虆}
䉃	{蔣}
䉈	<𥷭>
䉉	<觚>
䉋	<𥶫>
䉌	<𥴦𥶼>
䉍	{蕄}
䉑	[䉑-𫁲]
䉒	<籓>{蕃}
䉔	<𥴷>{籤}
䉖	<笭>
䉙	[䉙-𥬀]<篔>
䉜	<𥴢>
䉞	<𥴶>
䉟	<篧>
䉠	<𥰙>
䉣	<𥶘>
䉤	[籔-䉤]<藪薮>
䉥	<檧>
䉧	<𥳩𥷢>
䉩	<䉱>
䉫	{筣}
䉬	[䉬-𫂈]<𥳊蕟䕠>
䉰	<𥰹筊>
䉱	<䉩>
䉲	[䉲-𥮜]<𥵨>
䉵	<撰饌>
䉶	[䉶-𫁷]
䉷	<厂𥸂>
䉹	<䉁>
䉺	<粠>
䉻	<𥸳>
䉼	<料>
䉽	<粄>
䉾	<粊𥺘𥺟𥼠𥽑>
䉿	<糊>
䊀	[䊀⇀餬糊↛糊]_<𪏻>
䊁	<籸>
䊆	<糗>
䊇	<餔>
䊈	<酶>
䊉	{糝}
䊊	<䅏𥹹䬿>
䊋	<妝>
䊍	<黎𪐅>
䊎	<𥹳𥻖𥽊𪐂>
䊏	<糝>{炒}
䊐	<餛>
䊑	<餉>
䊒	<精>
䊕	<饘>
䊗	<䅣餭>
䊙	{研}
䊚	<䭔>
䊛	<𥻦>
䊜	<𥻁>{糰}
䊠	<餼>_<氣>
䊡	<饅>
䊣	<䵃>{餭}
䊤	<𥾁>
䊧	<屁>
䊫	<𥼺>
䊭	[䊭-𥺅]
䊮	<𥣞>
䊯	<穬>
䊲	<𥽱𥽽𪉺>
䊳	{糜}
䊵	<絿>{紈}
䊶	<紖>
䊷	[䊷-䌶]<緇>_{純}
䊸	<紆>
䊹	{牽}
䊺	[䊺-𫄚]<䇘>
䊻	{絘}
䊽	<䋉>
䊿	<衭>
䋀	<𥿅>_<𡱏>
䋁	<綆>
䋂	<𥾥𥾤>「-絞」
䋃	[䋃-𫄜]
䋄	<網>
䋆	<纑>
䋈	<茹>{袽}
䋉	<䊽>{袕}
䋋	<罠>
䋍	<䋪>
䋎	{組}
䋓	<縐>
䋔	[䋔-𫄞]<紴>
䋕	<紝>「絍」
䋗	<堅>
䋘	<縋>
䋙	[䋙-䌺]<𦗕>
䋚	[䋚-䌻]<翼>
䋛	<𥽲𪓋>
䋜	<綮>
䋝	<纓>
䋞	{網}
䋠	<補>
䋡	<紓>
䋢	<𦆰>
䋣	<𥿋𦃍繁>
䋤	<𦆗>
䋦	[䋦-𫄩]
䋧	<絇>
䋨	<䌗>
䋪	<䋍>
䋮	<紟>
䋯	<綮>
䋰	<𦦆𦀤𦀥>
䋱	<斄>
䋲	<繩>
䋳	<褙>
䋵	<𤣨>
䋶	<𦄼>
䋸	<䙉𦅑>
䋹	[䋹-䌿]<幅>
䋺	<鞧>
䋻	[䋻-䌾]{紝}
䋼	[䋼-𫄮]<𦀚>
䋽	<𥀂𧛜𦂌>
䋾	<𦅁𥿃>
䋿	[䋿-𦈓]
䌁	<䙅>
䌂	<握>
䌃	<綃𦂗>
䌄	<綆>
䌇	<索>
䌈	[䌈-𦈖]
䌉	<綱>
䌊	<繇>
䌋	[䌋-𦈘]<褡>
䌌	<彝>「緁」
䌏	<𦆥>
䌔	{漚}
䌕	<縻>
䌖	[䌖-𦈜]
䌗	<䋨>
䌛	<繇>_<𦅹>
䌝	[䌝-𦈟]<紺>
䌟	[䌟-𦈞]「*澼」
䌠	<喊𦆃>_<𣤭>
䌣	{綰}
䌤	<䌳>{絁}
䌥	[䌥-𦈠]
䌧	<紬>
䌨	<𦷞>
䌪	<𢸴𦇾>
䌫	<纜>
䌯	<㒽䙮>
䌰	[䌰-𦈙]
䌱	<䌴>
䌲	<纁>
䌳	<絁𦂛䌤𦇲>
䌴	<䌱>_<䌴>
䌵	<𦅉𦆂>
䌶	[䊷-䌶]
䌷	[紬-䌷]
䌸	[縳-䌸]
䌹	[絅-䌹]
䌺	[䋙-䌺]
䌻	[䋚-䌻]
䌼	[綐-䌼]「總」
䌽	[綵-彩䌽]
䌾	[䋻-䌾]
䌿	[䋹-䌿]
䍀	[繿-䍀]
䍁	[繸-䍁]
䍂	<𦈣>{盂}
䍅	<𦉢>
䍆	<𤲑>
䍇	<𦈮>
䍈	<瓶>
䍋	<𦉈>{甀}
䍌	<瓿>
䍍	<𦈴>
䍎	<𦉙>
䍏	{网}
䍐	<罕>
䍑	<罕>
䍒	<𦋡>{罘}
䍔	<𦊫>
䍖	<罦>
䍘	<𦊮𨤐>{冞}_<𥹄𥹐>
䍙	<𦋡>_<䍙>
䍜	<罩>_<𦋜>
䍞	{罭}
䍟	<緵>
䍡	<𦌏>
䍢	<𦌬>
䍣	<𦌵>
䍤	[䍤-𫅅]<擠>
䍦	<㒿>
䍧	<牂>
䍨	<𦍜>
䍩	<養>
䍫	<𦍔𦍥>
䍭	<牂>
䍮	<𦎉>
䍯	<觤>
䍰	<𦎣>
䍱	<𦍗>
䍸	<𤝔>
䍹	<羶>
䍺	<𦏖>
䍼	<𦏋>
䍽	<𦏈𦏩>
䍿	<凰>{皇}
䎂	<𦐙>
䎃	<𦐎𦐘>
䎄	<䳂𣬸>
䎅	<𦐚>
䎈	<𦏸𦐕𦐞𦐫𦐪>
䎉	「矞」
䎊	<𦐦>
䎍	<䎔>
䎔	<䎍𦒊>
䎕	<𦐥𦑟𦒃>
䎗	<𦑽𦒓>
䎘	<肅>
䎙	[䎙-𫅭]<𪇧>
䎚	<𦒎>
䎝	<翥>
䎠	<愞>{懦}
䎡	<𨅲>{耎}
䎢	<𦓪>
䎣	<耜>
䎤	<𦔁>
䎧	<𢮏稖𦔑>
䎨	<㽢>
