㭜	{械}
㭝	<𣓕>
㭟	<拲>{恭}
㭠	<洗>
㭣	[𣙎-㭣]
㭤	[樢-㭤]
㭨	<椰>_<枒>
㭫	<𣖵菆>
㭭	<朳>
㭮	<桚拶>
㭰	<嘴觜>
㭱	<匣>
㭲	<极>
㭴	[樫-㭴]
㭸	<梌>
㭹	<㡉𢮂>
㭺	<𣚖>
㭻	<棠>
㭼	<𣒩>
㭽	<柢>
㮀	<函>{㮭}
㮂	<梮>
㮃	<𦓽桵>
㮄	<榜>
㮅	{椎}
㮆	<蘖>{櫱}
㮇	<栝>
㮊	{楙}
㮋	<栯>
㮌	<棉>
㮍	<箋>{棧}
㮎	<杯>
㮏	<柰>
㮐	<杫>
㮒	<橪禋>
㮓	<亘>_<揯>_<亙>
㮔	<橦>
㮕	<𣚊檽>
㮗	<矜>
㮚	<栗>
㮛	<匙>{提}「椸」
㮝	{㮝}_<㮝>
㮞	<楶>_<節>
㮢	{𣔹}
㮣	<概>「-溉-慨」
㮤	<松>
㮥	<桳軬>
㮪	<𦨰舼𦩺>
㮫	<𥴭>
㮭	<椷>
㮮	<𣚃桔>
㮯	<梱䚠>
㮲	<𣔖>
㮳	<𣏖栚>
㮴	<艘>_<𣔱>
㮵	<栴>
㮶	<槊>
㮺	<本>
㮻	<搔>
㯀	<𣒀>
㯁	<棓>
㯇	<梐>
㯈	<樕>
㯉	<𣛲檴>{樗樺}
㯋	<穎>
㯌	<椽>
㯍	<槳>
㯏	<穀>{馨}
